timestamps,angvel_base_hist,I_hist,h_com_hist,angmom_wb_hist
0.1110057831,[-0.24785742 -0.04038295 -1.06841447],[0.77629491 1.23973391 0.63176215],0.5350395104,[-0.34530686 -0.27687381 -0.661795  ]
0.1120073795,[-0.24985345 -0.04503327 -1.07303242],[0.77669186 1.24075818 0.63188158],0.5351315968,[-0.34811288 -0.26424361 -0.66491291]
0.1130008698,[-0.25102496 -0.04553542 -1.06524018],[0.77714953 1.24180721 0.63201235],0.5352279565,[-0.34872138 -0.23410045 -0.66131983]
0.1140391827,[-0.25828626 -0.04200851 -1.05806998],[0.77755288 1.24280303 0.63211306],0.5353288497,[-0.35415793 -0.21369465 -0.65853586]
0.1150019169,[-0.25993144 -0.03502008 -1.06021312],[0.77795927 1.2437555  0.63221801],0.5354345148,[-0.35628187 -0.20066606 -0.66010711]
0.1159994602,[-0.26192855 -0.02599217 -1.06791534],[0.77833923 1.24468902 0.6323139 ],0.5355451651,[-0.35942389 -0.20540168 -0.66480338]
0.1170060635,[-0.26819941 -0.01741428 -1.06716237],[0.77878013 1.24568426 0.63242232],0.5356609865,[-0.36506455 -0.20028276 -0.6658655 ]
0.1180021763,[-0.27217427 -0.0091256  -1.06211969],[0.77864437 1.24596776 0.63239006],0.535782135,[-0.36781872 -0.21844405 -0.66383245]
0.1190061569,[-0.27370034 -0.00789843 -1.05181004],[0.77915648 1.24703117 0.63250298],0.5359087352,[-0.36810437 -0.20982401 -0.65778346]
0.1200540066,[-0.2737272  -0.0091521  -1.04227095],[0.77960778 1.24799181 0.63261666],0.5360408786,[-0.3674903  -0.23935091 -0.65263727]
0.1210141182,[-0.27734617 -0.01582337 -1.03046937],[0.78011011 1.24901991 0.63274132],0.5361786233,[-0.36946939 -0.25078384 -0.6467046 ]
0.1220021248,[-0.26152078 -0.02599814 -1.0356005 ],[0.78074522 1.250167   0.63285827],0.5363219936,[-0.35800223 -0.26900043 -0.64718619]
0.1229994297,[-0.2539625  -0.0362302  -1.03785162],[0.78124501 1.25119689 0.63300163],0.5364709803,[-0.35278227 -0.29703301 -0.64724356]
